Designator,Mid X,Mid Y,Rotation,Layer
C1,114.7,-105.125,180.0,top
C10,121.6,-101.35,180.0,top
C11,127.6875,-81.82,90.0,top
C12,136.1875,-82.17,90.0,top
C2,123.025,-85.1,90.0,top
C3,138.95,-85.25,90.0,top
C5,133.975,-102.675,90.0,top
C6,114.75,-93.55,180.0,top
C7,123.129764,-91.974761,90.0,top
C8,134.1,-98.675,0.0,top
C9,145.8,-94.775,270.0,top
D1,133.65,-83.825,180.0,top
D2,115.8,-85.825,180.0,top
D3,129.2125,-83.375,0.0,top
D5,149.4,-95.725,270.0,top
D6,122.275,-104.775,180.0,top
D7,135.2,-105.375,0.0,top
D8,123.4,-82.625,0.0,top
D9,139.375,-82.825,180.0,top
J1,111.179167,-76.825,0.0,top
J10,146.255,-116.5,270.0,top
J11,125.3,-112.9075,180.0,top
J12,113.648719,-114.095696,0.0,top
J2,150.379167,-76.825,0.0,top
J3,116.079167,-76.825,0.0,top
J4,145.479167,-76.825,0.0,top
J5,120.979167,-77.825,0.0,top
J6,125.879167,-77.825,0.0,top
J7,140.579167,-77.825,0.0,top
J8,135.679167,-77.825,0.0,top
J9,130.779167,-77.825,0.0,top
Q1,138.075,-94.425,180.0,top
Q2,126.0,-86.9,270.0,top
Q3,136.925,-87.225,270.0,top
Q4,117.229764,-91.504761,0.0,top
Q5,134.5,-113.375,270.0,top
Q6,120.8,-86.4,270.0,top
Q7,141.825,-87.2,270.0,top
R1,135.125,-82.225,90.0,top
R10,134.015,-100.4,0.0,top
R11,121.415708,-92.690087,90.0,top
R12,120.881288,-90.897,0.0,top
R13,120.184263,-93.180283,90.0,top
R14,138.725,-106.785,270.0,top
R15,115.223719,-108.060696,90.0,top
R16,112.155016,-107.962116,90.0,top
R17,120.8,-83.375,90.0,top
R18,141.825,-84.175,90.0,top
R19,125.975,-83.95,90.0,top
R2,124.225,-84.975,270.0,top
R20,136.9,-84.275,90.0,top
R3,126.625,-81.875,90.0,top
R4,119.45,-84.475,270.0,top
R5,135.15,-85.3,270.0,top
R6,140.625,-85.275,270.0,top
R7,128.991548,-94.775173,0.0,top
R8,131.775,-105.275,270.0,top
R9,130.35,-104.725,0.0,top
U1,131.075,-100.7,90.0,top
